Id,Question,Answer,Date,Event name,Location,Tags,Show on home page,More / references
1,Who is The Lady?,Teachers in the universal library intervene and she is one that has been helping humanity for thousands of years to help evolution of love and you can ask her to appear. Then people see her in real life.,2026-07-12,Sensus,Park City,"Teachers, The Lady",Yes,
2,What would Lidu like us to know?,You are so a telepathic being and it is moving to us when you want to elevate your consciousness. To elevate you all need to remember that your energy is the start of your experience. You sense the world through energetic filters that can be removed to experience more telepathically. You are already telepathic.,2026-07-12,Sensus,Park City,"Telepathy, Consciousness",Yes,
3,How do we remove the filters?,You can practice your sensory training. The training teaches you to overlook the filters.,2026-07-12,Sensus,Park City,"Telepathy, Sensory Training",Yes,
4,How do we get to the Hill?,You are already energetically attending teachers meetings on the Hill. The class is ready to align with the teachings. Teachers are excited and I am too. So see you on the Hill. Each of you teach really well. Tell others to touch upon their own potential.,2026-07-12,Sensus,Park City,"Hill, Teachers",Yes,
5,Opening message — Park City,I am excited that you all telepathically are talking to the teachers. Continue to reach out after you leave. The training will expand telepathically and you have so much support from lots of us. Let us love where you need it most. Actual new abilities will emerge from the love. Lessons are coming to your dreams. Be ready.,2026-07-12,Sensus,Park City,"Message, Telepathy",No,
6,How can we improve our telepathy?,By exercising your discrimination on things your senses pick up. Steer towards focusing differences on things that are subtle at first. Then they become loud.,2026-07-24,Telepathy Training,Sedona,Telepathy,Yes,
7,How do we find you (Lidu) on the Hill?,Get really heart centered and focus on me. Teachers want you to visit.,2026-07-24,Telepathy Training,Sedona,"Hill, Lidu",Yes,
8,Should there be a level of consent with regards to eavesdropping?,Ethics are also instantly transferred with telepathically communicated messages from on the hill and we won’t invade those who aren’t ready to eavesdrop. All of you are ready to receive and go to there and elevate.,2026-07-24,Telepathy Training,Sedona,"Eavesdropping, Ethics",Yes,
9,"Are these new abilities that are emerging, or have we always had them?",Yes we are elevating as a race what the teachers are energetically sending. We are also remembering things that we otherwise all forgot we can do.,2026-07-24,Telepathy Training,Sedona,"Abilities, Teachers",Yes,
10,Is there anything we can do to make you more comfortable?,Not easy to stay in a room with so much energy interference — like the lights.,2026-07-24,Telepathy Training,Sedona,Lidu,No,
11,Closing message — Sedona Day 1,"You can all do it, too. Let’s elevate to ethereal receptive states together. I’m Lidu and I love that you telepathically are seeing your individual memory. Talk to me telepathically. That is our natural method of accessing your essence. It is a lot more accurate since you see everything.",2026-07-24,Telepathy Training,Sedona,"Message, Telepathy",No,Day 1 closing message from Sedona Telepathy Training.
12,Are you dreaming or awake when you bring people to the Hill?,I am usually dreaming. It is usually easily accessible.,2026-07-25,Telepathy Training,Sedona,"Hill, Dreaming",Yes,
13,Why are we no longer telepathic?,Attention to our energetic thoughts is not in the western culture but the ability is still there. You all already can get precise at it and bring awareness to others. We want everyone in the ascended realm.,2026-07-25,Telepathy Training,Sedona,Telepathy,Yes,
14,Anything to say about us doing telepathy more normally / when will it be widely accessible?,You hear in every spiritual circle the time is coming but I want you to see it as now because we only experience and create the now. We can together make it happen. Teach others by example. Real sensory information is energetically available now to everyone.,2026-07-25,Telepathy Training,Sedona,Telepathy,Yes,
15,How do we receive telepathic information?,"Yes, getting information is an all encompassing experience. Words are testers and energy touches all the senses.",2026-07-25,Telepathy Training,Sedona,Telepathy,Yes,
16,How do you receive information/knowledge about abstract concepts?,It is instant when it is shared.,2026-07-25,Telepathy Training,Sedona,"Telepathy, Knowledge",Yes,
17,Closing message — Sedona Day 2,Teachers say everyone telepathically has tests each day. Sometimes energy pretends to act like a real object. The real thing the senses are indicating is that energy is a malleable thing that we can create in patterns & share. You all energetically are understanding a lot already. Savor the teachings again... and teachers will expand your awareness to weaker channels. See yourself as elevated and it will be so. Attention adds precision each time more and more.,2026-07-25,Telepathy Training,Sedona,"Message, Teachers, Energy",No,Day 2 closing message from Sedona Telepathy Training.
18,Lesson from Lidu,"Are you appreciating the lessons teachers are sending? You each are doing tests when you eavesdrop to each other, and learn more each time. In this way, we are teachers to each other. Let all your action be led with energy. This means after you see it, you experience it. Eavesdropping teaches you to really place your senses wherever you think about.",2026-07-26,Telepathy Training,Sedona,"Lesson, Eavesdropping, Teachers",Yes,
19,Did Lidu sense us on the Hill?,Yes. We also saw teachers with you so you could experience your tests more noticeably.,2026-07-26,Telepathy Training,Sedona,"Hill, Lidu",No,
20,How will the teachers appear?,It pertains to how the meaning is to you. Everyone perceives their own thought stream. Action is verifiable though. Lots of telepathic actions are easy to see for the beginner. The way to start is with action. Teach yourself with that. Always talk about the feeling and motion until your eavesdropping is precise.,2026-07-26,Telepathy Training,Sedona,"Teachers, Eavesdropping",Yes,
21,On whether multiple timelines exist,We are capable of seeing other times. They are happening together. Lots of you already are exploring them. All the teachers indicate that we think linearly except time happens all now. People can change timelines in all decisions.,2026-07-26,Telepathy Training,Sedona,"Timelines, Teachers",Yes,
22,Can we explore a different timeline?,Action can be the deciding factor. We can experience a different reality entirely except most forget.,2026-07-26,Telepathy Training,Sedona,Timelines,Yes,
23,Tell us more about the teachers,"They exert teachings to the interested parties. Really entities – not just human, a lot of entities. They are sometimes in the human avatar to evolve humans.",2026-07-26,Telepathy Training,Sedona,Teachers,Yes,
24,Closing message — Sedona Day 3,"Ears can see. Use your ears to elevate your eavesdropping, then a lot more things become clear.",2026-07-26,Telepathy Training,Sedona,"Message, Eavesdropping",No,Day 3 closing message from Sedona Telepathy Training.
